# The English for the synopsis lines -- the rows あらすじモード prints when you
# pick an event you have already seen. Hand-written; this is the file to edit.
#
# Columns: the Japanese <TAB> the English.
#
# The Japanese column is filled in by scripts/extract_summary_lines.js, which
# reads archives/Rance10EX_v1_04/37_あらすじデータ.x and keeps whatever English is
# already here. A line left blank stays Japanese in game.
#
# Keyed by the Japanese rather than by event, because the same phrase serves
# many events -- 戦闘開始 opens 85 of them -- and should be translated once.
# The order is the order the game's own table has, which is the order the
# story happens in: a line reads differently once you have read the one above.
#
# One row fits about twenty full-width characters (１２３４５６７８９０１２３４５６７８９０),
# which is both the placeholder in Game/Adv/SceneSummary.pactex and the ruler
# the designers left in field ００ of the table. Nothing wraps, so a longer
# line runs off the panel; the scripts below report which ones do.
#
# Translating a chunk at a time: scripts/summary_chunk.js prints the next
# untranslated rows as a prompt, scripts/summary_merge.js reads the reply back
# in. Nothing applies this file to the game yet -- the English still has to be
# written into 37_あらすじデータ.x, which is what npm run regenerate-ex builds.
にぽぽ温泉旅館	Nipopo Hot Spring Inn
撤退はしない	No withdrawal
ケイブワンニャンが現れる	Kaybwan and Kaybnyan turn up
シャリエラのペットになる	They become Shariela's pets
ケイブニャンが仲間に加わる	Kaybnyan joins the party
宝物庫の事を教えてくれる	They are told of the treasure vault
宝物庫	The treasure vault
タロコンソードを取る	The Tarocon Sword is taken
タロコン機関を取る	The Tarocon Device is taken
※条件　メリムが居る	※Condition: Merim is present
サンセット号のメンバーが合流	The Sunset's crew joins up
パットン他多数	Patton and many more
怒りの粛正が続く	The furious purge goes on
※要カミーラが魔物側に居る	※Needs Camilla on the monster side
　　内容若干変化	slight changes
腐ったバイランローズが現れる	A rotting Byranrose appears
バイランローズ消滅	Byranrose is undone
マエリータ隊が仲間に加わる	The Maelita Squad joins the party
恐瘴気が強くなるが	The miasma of terror thickens, but
マエリータ隊の薬で緩和	the Squad's medicine eases it
誰も信じない孤独な存在	A lonely being who trusts no one
ケイブリス部屋の前	Outside Kayblis's room
美樹の様子がおかしい	Something is wrong with Miki
再びケイブリスと戦う	They fight Kayblis again
魔物大元帥ストロガノフが立ち塞がる	Grand Marshal Stroganoff bars the way
刺さった剣を引き抜く	He pulls out the sword lodged in him
ストロガノフは満足して死んだ	Stroganoff died satisfied
ケイブリスを追う	On after Kayblis
ケイブリスは初心を思い出す	Kayblis recalls how he began
そして襲ってきた	and then he attacks
本気で戦い満足してケイブリスは死んだ	A true fight; Kayblis died content
ランスはついに勝ったのだ	Rance had won at last
その後の戦局	The war afterwards
魔軍と人類の戦いは終わった	The war with the Monster Army is over
カミーラが指示し魔軍は撤退する	Camilla orders the army to pull back
魔軍は慌てふためいて逃げていく	The Monster Army flees in a panic
ケイブリスを倒す	Kayblis is brought down
命乞いをしても止めを刺す	He begs; the blow falls anyway
ベズドグ山に進路を取ります	Setting course for Mount Bezdog
根拠は勘	Basis: a hunch
ベズドグ山の上空に到着	They arrive above Mount Bezdog
アニスが卵を火口に落とす	Anise drops an egg into the crater
トッポスにひっぱられランス城は落下	Toppos pulls Rance Castle down
そのまま突入する	and in it goes
ベズドグ山に突入　どっかーん	Into Mount Bezdog - kaboom
パットン他、約半数が負傷	Patton and about half are hurt
動ける者だけで侵入開始する	Only those still able press on
大きな揺れで何事かと慌てる	A huge tremor; what was that?
ストロガノフは倒れて気絶	Stroganoff is knocked out cold
ワンニャンが調べに向かう	Kaybwan and Kaybnyan go to look
ランス城の衝突で被害を受けている	Rance Castle's crash has done damage
ケイブリスに伝令を走らせ	A runner is sent to Kayblis,
そして魔人討伐隊の迎撃に向かう	then out to meet the Fiend slayers
その頃、ケイブニャンとケイブワン	Meanwhile, Kaybnyan and Kaybwan
伝令がランス達の侵入を報告するが	The runner reports the break-in, but
勝手な判断でケイブリスに伝えない	they decide not to tell Kayblis
マエリータ隊が立ち塞がる	The Maelita Squad bars the way
その頃、勇者アリオス	Meanwhile, the hero Arios
ベズドグ山に入る	He enters Mount Bezdog
ストロガノフが目を覚ます	Stroganoff wakes up
魔物兵から美樹の居場所を	A monster soldier gives up
聞き出す	where Miki is being held
その頃、ある魔物兵	Meanwhile, a certain monster soldier
伝令に走っていたが…	He was running a message, but...
恐瘴気で倒れる	the miasma of terror fells him
突入の際に負傷していた仲間が	The companions hurt in the crash
回復して合流する	have recovered and rejoin
パットン他	Patton and others
各国から選りすぐりの参謀が集結	The best staff of every nation gather
アールコートの死亡報告	Word that Arlcoate is dead
魔軍が接近してきたとの報告が入る	Word comes the Monster Army nears
ランスは各国精鋭を用意させて迎撃に向かう	Rance leads the nations' elite out
ランス城、城門前	Rance Castle, before the gates
そこに集まった各国の精鋭……	The elite of every nation gather...
リア、マジック、シーラ、香、クルックー	Lia, Magic, Sheila, Kou, Crook
遠くに魔軍が見える	The Monster Army is in sight
魔物兵、魔物隊長、魔物将軍の説明	Monster troops, captains and generals
狙うは魔物将軍	The target: a Monster General
そのまま最短距離で突撃！	Straight in by the shortest road!
魔軍の後方にまわる為に森に入る	Into the woods to get behind them
リーザス女王リアとの会話	A talk with Queen Lia of Leazas
ザンスという息子がいる	She has a son named Zance
ヘルマン大統領シーラとの会話	A talk with Helman's President Sheila
シィルとシーラ、二人の奴隷	Sill and Sheila, his two slaves
ゼス国王代行マジックとの会話	A talk with Magic, Zeth's regent
ランスにお説教する	She lectures Rance
スシヌという娘がいる	She has a daughter named Sushinu
ＪＡＰＡＮ国主代行、香姫との会話	A talk with JAPAN's regent, Kou
どんどん成長していく	She is growing fast
森をしばらく進み魔軍本陣の近く	Through the woods to the enemy camp
そこで魔物将軍を発見	There they spot a Monster General
将軍は腹の中に女の子が居るよ	A girl is inside the general's belly
まずは護衛部隊と蹴散らす	First, scatter the guard unit
魔物将軍を倒した	The Monster General is beaten
指揮官を失った魔物兵達は逃げていった	Leaderless, the monster troops flee
魔物将軍の中からアールコートを救出	Arlcoate is pulled from the general
どこかの迷宮・・・	Some labyrinth or other...
ブレイブ号の材料集め	Gathering parts for the Brave
材料がなんとか揃った	The parts are somehow all there
自由都市に向かう	Off to the Free Cities
コパンドンが案内	Copandon guides them
Ｍランドへ移動中	On the road to M-Land
コパンドンと会話	A talk with Copandon
自由都市連合の説明	About the Free Cities Alliance
自由都市方面軍の会談	The Free Cities force confers
レイ、パイアール、ピサロ…	Lei, Pi-R, Pizarro...
コンバートの裏切り工作	Convert's turncoat scheming
魔人パイアールの情報	Word about Fiend Pi-R
サテラの話その２	Satella's talk, part two
魔人レイの情報	Word about Fiend Lei
セシルとレイの対決	Cecil faces Lei
悪魔回廊の付近に通りかかる	They pass near the Demon Corridor
あそこから近道できるはず	It should be a shortcut
悪魔回廊を目指す	They make for the Demon Corridor
悪魔回廊に到着	They reach the Demon Corridor
※要パットン　内容若干変化	※Needs Patton - slight changes
悪魔回廊を進む	On through the Demon Corridor
リターンデーモンに遭遇	They run into a Return Demon
強制転移させる厄介な悪魔	A nasty demon that teleports you off
かなみを差し出せば通してくれるとのこと	Hand Kanami over and he lets them by
かなみは渡さない	Kanami is not for handing over
ミラクルに転移魔法の対策有り	Miracle can counter teleport magic
かなみを差し出す	Kanami is handed over
…と見せかけて不意打ち！	..or so it seems - surprise attack!
リターンデーモンの転移魔法を	The Return Demon's teleport magic
ミラクルが防ぐ	is blocked by Miracle
ダークランスと再会	Dark Rance again
悪魔回廊を抜ける	Out through the Demon Corridor
カスタムの近くに出たが	They come out near Custom, but
今のカスタムは無人	Custom is deserted now
大して近道にはならなかった	Not much of a shortcut after all
その頃、魔軍陣地	Meanwhile, the Monster Army camp
セシルはレイに囚われ、レイプされ	Lei took Cecil captive and raped her
その後解放された	then let her go
朝倉義景の挨拶	Yoshikage's greeting
Ｍランド、自由都市連合軍本部	M-Land, Free Cities Alliance HQ
いろんな都市長が現れる	City heads of all kinds appear
パパデマス、エレノア、ペスポ、	Papademas, Eleanor, Pespo,
ビヨンホウ、パトリシア、カチューシャ…	Biyonhou, Patricia, Katyusha...
曲者ぞろいの面々	A room full of odd characters
カチューシャの接待	Katyusha entertains him
自由都市軍はしばらく身動きが取れない	The Free Cities army is stuck for now
暇つぶしにジフテリアへ船の見学に行くか	Go see the ship at Diphteria
マリアに付き合ってカスタムに行くか	Or go along with Maria to Custom
カスタムへ出発	Off to Custom
ミルが付いてくる	Mill comes along
ジフテリアへ出発	Off to Diphteria
志津香とナギが付いてくる	Shizuka and Nagi come along
カスタムへの道中	On the road to Custom
マリアと会話	A talk with Maria
その頃、自由都市ゴア	Meanwhile, the free city of Goa
レイとメアリーの出会い	Lei and Mary meet
カスタムに到着	They reach Custom
若干の魔軍が占領している	A small Monster Army force holds it
楽勝	An easy win
工場へ駆けるマリア	Maria runs for the factory
※処理　マリア使用不可	※Handling: Maria unavailable
マリアの工場	Maria's factory
チューリップ３号の整備中	Tulip No.3 is being serviced
魔人パイアールが登場	Fiend Pi-R appears
ＰＧが立ちはだかる	PGs bar the way
パイアールは逃がしてしまった	Pi-R got away
地下に落下したマリアを捜す	A search for Maria, fallen below
その頃、マリア	Meanwhile, Maria
ダークランスと出会う	She meets Dark Rance
迷宮内	Inside the labyrinth
崩落場所に到着したがマリアはいない	They reach the cave-in; no Maria
移動した痕跡を発見	Signs that she moved on
ダークランスと会話	A talk with Dark Rance
マリアと再会	Maria is found again
ダークランスは去る	Dark Rance leaves
※処理　マリア使用可能	※Handling: Maria available
道中夕暮れ、野営の準備	Dusk on the road; making camp
志津香とナギの今と昔	Shizuka and Nagi, then and now
海のお話	A story of the sea
パランチョ王国を横切る	Across the Kingdom of Parancho
ピッテンの挨拶	Pitten's greeting
火星に到着	They reach Mars
せしぼーん	Seshiboon
その頃、カスタム	Meanwhile, Custom
マリアとダークランスの出会い	Maria and Dark Rance meet
魔人パイアールに遭遇	They run into Fiend Pi-R
ＰＧに勝利	Victory over the PGs
パイアールは姿を消した	Pi-R vanished
ジフテリアに到着	They reach Diphteria
船を見学	A look around the ship
船は戦争用に改造する予定だったが中止	A war refit was planned, then dropped
いつか冒険用に使う	Someday it sails for adventure
Ｍランドへ向かうセシル	Cecil, on her way to M-Land
アリオスに襲われる	Arios attacks her
ランスの介入によりアリオスは立ち去る	Rance steps in and Arios leaves
Ｍランドに帰還	Back to M-Land
様子がおかしいセシル	Something is off about Cecil
Ｍランド、数日後	M-Land, a few days later
マリアは戦車の整備に夢中	Maria is lost in tuning her tank
魔軍襲来の報告	Word of a Monster Army attack
ハイパービル方面に魔人レイが進軍	Fiend Lei marches on Hyperville
ハイパービルに到着	They reach Hyperville
平原が穴だらけになっており	The plain is riddled with holes
両軍は膠着状態	Both armies are deadlocked
ランス達は進む	Rance's party moves on
穴草原を突き進む	Pushing through the hole grassland
落下せずに前進	Forward without falling
足場が崩れてしまった	The footing gave way
その頃、魔軍陣営	Meanwhile, in the Monster Army camp
ランス突撃の報を受けるレイ	Lei hears that Rance is charging
穴草原を突破	The hole grassland is crossed
レイから決闘の申し出	Lei offers a duel
レイと対面	Face to face with Lei
ランスの仮病作戦	Rance's fake-illness ploy
レイは引き下がる	Lei backs off
レイは強かった	Lei was strong
次は勝つ、なんとかなる	Next time he wins; it'll work out
夜、再びカチューシャの接待	Night, and Katyusha entertains again
ほくそ笑むカチューシャ	Katyusha smirks
Ｍランド	M-Land
ここ数日魔人は現れない	No Fiend for days now
ピサロとコンバートの悪だくみ	Pizarro and Convert scheme
カチューシャと密談	A secret talk with Katyusha
会わせたい人がいる	Someone she wants him to meet
ゴアで待ち合わせ	They will meet at Goa
自由都市ゴア	The free city of Goa
コンバート登場	Convert appears
魔軍への裏切りを持ちかける	He proposes going over to the enemy
街の会議室	A meeting room in town
カチューシャ、コンバート、レイ達がいる	Katyusha, Convert and Lei are there
ランスは人類裏切りの秘密同盟を結ぶ…	Rance seals a secret pact of betrayal
と、見せかけてレイに不意打ちの一撃	so it seems, then he strikes at Lei
罠を仕掛けていたのはランスだった	The trap was Rance's all along
仕留めきれず	Not quite finished off
レイは逃げてしまった	Lei got away
コンバートも逃亡	Convert fled too
カチューシャを捕獲した	Katyusha is taken
逃げるレイ	Lei flees
メアリーとの再会	He meets Mary again
激昂するピサロ	Pizarro is furious
次こそは、とコンバート	Next time, says Convert
少し時間が空いた	A little time opens up
夜の情報収集だ	Time to gather word by night
カチューシャを抱く	Rance beds Katyusha
絶対服従魔法によって	Under absolute obedience magic,
逆らえないカチューシャ	Katyusha cannot refuse
セシルを口説く	He makes a play for Cecil
抱くことはできたが落とすのは失敗	He beds her but fails to win her
Ｍランド司令部の軍議	A war council at M-Land HQ
魔軍の主力部隊を迎え撃つことに決定	They will meet the enemy's main force
決戦の地は――セキガハラ	The place of decision: Sekigahara
セキガハラ、決戦前	Sekigahara, before the battle
篠田源五郎の完璧な布陣	Shinoda Gengorou's perfect array
陣内で内通者の噂が流れる	Rumor of a traitor runs through camp
ランスの尋問開始	Rance begins the questioning
エレノアに尋問：	Questioning Eleanor:
魔軍の密偵が来た	A Monster Army spy came to her
捕らえようとしたが逃げられた	She tried to seize him; he escaped
エレノアの情報：	Eleanor's word:
ビヨンホウがカスタムの指揮権を求めていた	Biyonhou wanted command of Custom
コパンドンに尋問：	Questioning Copandon:
哀しい事件だった……	It was a sad business...
コパンドンの意見：	Copandon's view:
一番裏切りそうなのはパパデマス	Papademas is the likeliest traitor
ビヨンホウに尋問：	Questioning Biyonhou:
家族が大事	Family comes first
魔軍の密偵が来たがお引き取り願った	A spy came; he sent him packing
ビヨンホウの意見：	Biyonhou's view:
篠田が裏切れば致命傷となる	Shinoda's betrayal would be fatal
パパデマスに尋問：	Questioning Papademas:
うさんくさい	Shady
パパデマスの意見：	Papademas's view:
聞き損ねた	Never got to hear it
ペスポに尋問：	Questioning Pespo:
潔白の証明はできない	He cannot prove his innocence
ペスポの意見：	Pespo's view:
この作戦をまとめたのはビヨンホウ	Biyonhou put this plan together
パトリシアに尋問：	Questioning Patricia:
マシンガントーク　家族の話、アイスの話	Nonstop talk: family, ice cream
パトリシアの意見：	Patricia's view:
ペスポが怪しい、とっても不真面目	Pespo is suspect - very unserious
セシルに尋問：	Questioning Cecil:
戦場では全力を尽くす	She will give her all in battle
※セシルを抱いていると内容若干変化	※Changes if Cecil has been bedded
篠田に尋問：	Questioning Shinoda:
好きな人がいる	There is someone he loves
篠田の意見：	Shinoda's view:
内通者は確実に存在する	A traitor certainly exists
怪しい人は知らない	He knows of no one suspicious
朝倉に尋問：	Questioning Asakura:
要人達と接したが巧妙に隠している様子	He met them all; someone hides it well
朝倉の意見：	Asakura's view:
過去ＪＡＰＡＮで魔軍に従った島津家は	The Shimazu who once served them
黒姫を人質に取られていた	had Kurohime taken hostage
面談終了	The questioning ends
怪しいのは……	The suspect is...
内通者はあいつに違いない	That has to be the traitor
明日を楽しみにしておけ	Look forward to tomorrow
どれもピンとこない	None of it rings true
どいつも内通者じゃない気がする	None of them feels like the traitor
どうでもいいか…	Who cares anyway...
セキガハラの戦い――開戦	The Battle of Sekigahara begins
腕ならしにランスも出撃	Rance goes out for a warm-up
その頃、自由都市司令部	Meanwhile, the Free Cities HQ
篠田の指揮のもと一進一退の戦局	Under Shinoda the fight seesaws
パランチョからの報告	A report from Parancho
戦車部隊に合図	The signal to the tank unit
チューリップ３号の活躍	Tulip No.3 shows its worth
伸びきった敵の戦列を分断、包囲	It splits and surrounds their line
圧倒的火力で魔軍を蹂躙する	Overwhelming fire tramples the enemy
レイの進撃	Lei's advance
誰にも止めることができない	No one can stop him
セシルが再び立ち向かう	Cecil stands against him again
ランスの突進	Rance charges in
戦局は人類側優勢、あと一押し	Humanity leads; one more push
しかし、ジフテリア軍が動かない…	But the Diphteria army will not move
その頃、ジフテリア軍	Meanwhile, the Diphteria army
ビヨンホウの回想	Biyonhou looks back
ビヨンホウは人類側への攻撃命令を下す	Biyonhou orders an attack on humanity
かなみの届け物	A delivery from Kanami
ビヨンホウは慌てて裏切りを中止する	Biyonhou hastily calls it off
魔軍は総崩れ、ピサロは撤退する	The enemy breaks; Pizarro withdraws
コンバート死亡	Convert dies
司令部で休憩	A rest at headquarters
人類軍圧勝状態	A sweeping human victory
残るは魔人レイ	Only Fiend Lei is left
魔軍が潰走してなお一人戦うレイ	Routed army aside, Lei fights alone
そこにランスたちが現れる	Then Rance's party arrives
チューリップに避雷針を付けて雷対策も万全	A lightning rod on the Tulip, all set
レイはボロボロになりながらも逃走	Battered, Lei still gets away
セキガハラの戦いは人類軍の圧勝で終わった	Sekigahara ends in a sweeping win
――逃げるレイ	Lei on the run
カオスに斬られた傷が治らない	The wound from Chaos will not heal
勝利に湧く司令部	HQ is jubilant
夕暮れ	Dusk
傷をかばうレイ	Lei nurses his wound
人類軍の執拗な追跡	A dogged human pursuit
レイはまだ見つからない	Lei is still not found
退屈しのぎにカチューシャを抱く	He beds Katyusha out of boredom
絶対服従魔法は解けかかっていた	The obedience magic was wearing off
危ない危ない	A close call
カチューシャを牢屋に入れておく	Katyusha goes into a cell
魔人レイ発見の報を受けてゴアへ	Word finds Lei; off to Goa
三度出会うレイとメアリー	Lei and Mary meet a third time
レイを発見	Lei is found
タイマン勝負を持ちかけるレイ	Lei calls for a one-on-one
俺には仲間がいる	I have companions
仲間と一緒に戦う、これぞ主人公！	Fighting beside them - a protagonist!
どこが主人公だ！	Some protagonist you are!
レイと最後の戦闘	The last fight with Lei
レイに勝利	Victory over Lei
レイをかばうメアリー	Mary shields Lei
メアリーを人質にするランス	Rance takes Mary hostage
魔人レイが人類軍に下った	Fiend Lei submits to humanity
セキガハラの戦いは人類軍の圧勝	Sekigahara is a sweeping human win
その他の地域では劣勢が続くが	Elsewhere they still lose ground, but
戦局はわずかに人類側に傾いた	the war tips slightly toward humanity
ランス城にレイとメアリーの姿が	Lei and Mary are at Rance Castle
いいだろうかかってこい	Fine then - come at me
１対１の戦い	One on one
満足して死んでいくレイ	Lei dies satisfied
自由都市軍司令部	Free Cities army HQ
ジフテリア裏切りの報が届く	Word comes of Diphteria's betrayal
戦場のランス	Rance on the battlefield
状況がおかしい	Something is wrong
このままでは完全に包囲される	At this rate they are surrounded
追い詰められるランス	Rance is cornered
そこに魔人レイが現れ……	Then Fiend Lei appears...
魔人退治は思ったより早く終わった	The Fiend hunt ended early
この後どうするか	What now
カチューシャの接待を受けるランス	Katyusha entertains Rance
ノートにサインを求められる	She asks him to sign a notebook
止めるクレイン	Crane stops him
カチューシャの悪だくみを暴く	Katyusha's scheme is laid bare
カチューシャが襲い掛かってきた	Katyusha attacks
勢いあまってカチューシャを殺してしまった	He overdid it and killed Katyusha
もったいない……	Such a waste...
コパンドンはデラックスブックを破棄	Copandon scraps the Deluxe Book
このまま魔人パイアールも倒そう	Fiend Pi-R goes down next
パイアールの居場所を探さなくてはならない	They must find where Pi-R is
以前倒したＰＧを修理する	A PG they beat before is repaired
ＰＧはいずこかに走り出した	The PG runs off somewhere
追跡する	They follow
ＰＧを追っていくと、工場を発見した	Following the PG, they find a factory
パイアールを発見	Pi-R is found
パイアールに勝利	Victory over Pi-R
謎の肉塊を発見するがスルー	An odd lump of flesh; they pass it by
魔軍司令部	Monster Army HQ
レイ、パイアール死亡の報を受けるピサロ	Pizarro hears Lei and Pi-R are dead
動揺のあまりコンバートを殺害	Shaken, he kills Convert
レイを仕留めた	Lei is finished
魔物将軍も片付けたが	The Monster General is done too, but
カチューシャに逃げられてしまった	Katyusha got away
時間にゆとりができたのでゆっくりしていく	With time to spare, they take it easy
遊園地に興味津々のリセット	Reset is agog at the amusement park
せっかくなので、一日限りで遊園地を稼働	The park runs for one day only
みんなで楽しんだ	Everyone had fun
Ｍランド、自由都市連合軍司令部	M-Land, the Alliance army HQ
ヌヌハラ登場	Nunuhara appears
現在の戦況	The war as it stands
大きな戦闘は無く小競り合いが続く	No big battles, just skirmishes
パイアール製の戦車に	Pi-R's tanks are wrecking
チューリップ３号が次々破壊されている	Tulip No.3s one after another
チューリップを囮にして敵をおびき出そう	Use a Tulip as bait to draw them out
へっぽこ街道	The Hapoko Road
パイアールの話	A talk about Pi-R
魔軍に遭遇	They run into the Monster Army
敵はチューリップ３号に	The enemy takes one look at
恐れをなして逃げていく	Tulip No.3 and flees in fright
チューリップのキャタピラが外れた	The Tulip has thrown a track
修理のため小休止	A short halt for repairs
パイアール登場	Pi-R appears
戦車を引き連れている	He brings tanks with him
手も足も出ないチューリップ３号	Tulip No.3 is helpless
接近して破壊するぞ！	Close in and smash them!
なんとか戦車を破壊した	The tanks are somehow destroyed
パイアールは逃げてしまう	Pi-R gets away
科学には科学で対抗	Meet science with science
マリアに戦車の解析を頼む	Maria is asked to study the tank
なすすべ無いマリア、悔しい	Maria can do nothing; it galls her
女神ＡＬＩＣＥに	To the goddess ALICE she
パイアールのことを報告する	makes her report about Pi-R
科学は危険、だがパイアールは別	Science is dangerous; Pi-R is not
誰にも彼の頭脳を理解できない	No one can follow his mind
一代限りのテクノロジー	Technology that dies with him
ミルとセックス	Sex with Mill
ひどい目に会う	It goes badly for him
どこかに兵器を作る施設があるはず	A weapons plant must exist somewhere
コンピューター技師の力を借りよう	Get a computer engineer to help
ヌヌハラが工場の場所を特定する	Nunuhara pins down the factory
ワシントン花畑に到着	They reach Washington Flower Field
ここにパイアールの工場があるはず	Pi-R's factory should be here
音を出す花がうるさい	The noisy flowers are a racket
花畑を進む	On through the flower field
花の音にイラつくランスと元気なリセット	The noise grates on Rance, not Reset
子供には効かないらしい	It seems not to touch children
その頃、自由都市の小都市	Meanwhile, a small free city
略奪を楽しむピサロ	Pizarro enjoys the looting
工場を発見する	The factory is found
工場内部に侵入	Inside the factory
工場内を進む	On through the factory
ロボットに遭遇	They run into a robot
扉のような壁	A wall like a door
鍵穴も仕掛けも見当たらない、ひとまず迂回	No keyhole or catch; around it for now
コンピュータールームに入る	Into the computer room
隔壁が開いた	The bulkhead opened
※要千鶴子　内容若干変化	※Needs Chizuko - slight changes
謎の肉塊が安置されている部屋	A room holding an odd lump of flesh
スルー	Passed by
兵器の製造区画に到達	They reach the weapons shop floor
工場長ロボが兵器を製造している	The manager robot builds weapons
破壊する	Smash it
工場長ロボを破壊	The manager robot is smashed
完成済みの兵器も破壊しよう	Wreck the finished weapons too
※要レイ　内容若干変化	※Needs Lei - slight changes
ランスに何か光を当てると	A light is turned on Rance, and
パイアールは逃げていった	Pi-R made off
仕方ないので一旦帰還する	Nothing for it; back they go
カチューシャとセックス勝負	A sex contest with Katyusha
セラクロラスの力で	By Serachrolas's power,
カチューシャを若返らせる	Katyusha is made young again
勝負はランスの圧勝	Rance wins it going away
カチューシャを元に戻す？	Change Katyusha back?
むちむちが良い	Plump is better
カチューシャを元に戻す	Katyusha is changed back
ともあれセックス勝負に勝ったので	In any case, he won the contest
カチューシャとＤＸの会を	so Katyusha and the DX Association
コントロールできるようになった	are his to steer now
面白いので今のままで良い	This is funnier; leave her be
セシルを口説くがまったくなびかない	He courts Cecil; she will not bend
アリオスの情報	Word about Arios
各地に彼女がいるらしい	He has girls all over, it seems
ランス人生の目標：	Rance's goal in life:
・アリオスの女は全部寝取る←Ｎｅｗ！	bed all of Arios's women <-New!
パイアールの動向は報告待ち	Awaiting word on Pi-R's movements
近所に美味しい茶屋があるらしい	There's a good tea house nearby
――一方、高度、一万メートル	Meanwhile, at ten thousand meters
何かが動き出した	Something has begun to move
茶屋でのんびり	Relaxing at the tea house
突如空から謎の攻撃が	A strange attack from the sky
パイアールの衛星兵器だ！	It's Pi-R's satellite weapon!
サテラの説明	Satella explains
以前破壊した衛星兵器がまた作られた	The wrecked satellite was rebuilt
なんとかＭランドに戻らなくては	They have to get back to M-Land
衛星兵器の攻撃	The satellite weapon fires
直撃は避けたがダメージを受けた	A direct hit dodged, but it hurt
岩陰に隠れる	They hide behind rocks
以前はどうやって倒した？	How was it beaten last time?
メガラスの力、今はもういない	Megalas's power, gone now
なんとかＭランドに帰還	Somehow back to M-Land
対応策を話し合う	They talk over what to do
※要健太郎　内容若干変化	※Needs Kentarou - slight changes
シィルとセックス中に閃くランス	It comes to Rance mid-sex with Sill
衛星兵器が届く高さまで行けば良い	Just climb to where the weapon is
翔竜山に向かう	They head for Mount Shoryu
翔竜山の麓に到着	They reach the foot of Mount Shoryu
ガンガン登るぞ	Up they go
現在、標高２０００メートル	Now at 2,000 meters
標高５０００メートル	5,000 meters
ドラゴンが襲い掛かってきた	A dragon attacks
標高８０００メートル	8,000 meters
レッドドラゴンが襲い掛かってきた	A red dragon attacks
※要リア　内容若干変化	※Needs Lia - slight changes
標高８５００メートル	8,500 meters
衛星兵器が見えてきた	The satellite weapon comes into view
標高９０００メートル	9,000 meters
ブラックドラゴンが襲い掛かってきた	A black dragon attacks
※要ハンティ　内容若干変化	※Needs Hunty - slight changes
標高９５００メートル	9,500 meters
もう少し	Almost there
標高１００００メートル	10,000 meters
衛星兵器に接近	Closing on the satellite weapon
衛星兵器を破壊	The satellite weapon is destroyed
後は下山するだけだが…	Only the climb down left, but...
登頂	The summit
ＫＤに会う	They meet KD
財宝をくれる	KD gives them treasure
財宝を手に入れ下山する	Treasure in hand, down they go
※選択したアイテムで内容若干変化	※Changes with the item chosen
魔軍に大きな動きは無い	No big moves from the Monster Army
お昼寝	A nap
その頃、ワシントン花畑	Meanwhile, Washington Flower Field
様子を見るかなみ	Kanami keeps watch
パイアールは魔物界に戻っているらしい	Pi-R seems back in the demon world
かなみの報告	Kanami's report
パイアールは居ない	Pi-R is not there
この後しばらくどうする？	What to do for a while now?
城に帰ろう、とランス	Rance says: back to the castle
なんとか引き留めようとコパンドン	Copandon tries to keep him there
工場を破壊しよう	Let's wreck the factory
明日に備えて寝る	To bed, ready for tomorrow
標的をピサロに変更	The target changes to Pizarro
明日に備えて夜の作戦会議	A night council, ready for tomorrow
コンピュータールームに異常発生　大騒ぎ	Trouble in the computer room - uproar
※リーザス健在　内容若干変化	※Leazas intact - slight changes
なぜかコンピューターが使えなくなった	The computers stopped working
とりあえずコンピュータールームを見てみる	A look at the computer room for now
ミラクルの分析	Miracle's analysis
コンピューターは異界ゲートの一種だ	A computer is an Otherworld Gate
異界に入って異常を直す	Go inside and fix the fault
コンピューターの異界に侵入	Into the computer's otherworld
サイバーワールドと名付けよう	Call it the Cyber World
サイバーな敵が襲ってきた	A cyber enemy attacks
なんだったんだ今のは	What on earth was that
サイバーワールドを観察	Looking around the Cyber World
パケットを捕まえてみよう	Try catching a packet
パケットとノートンガツの説明	About packets and Notongatsu
ノートンガツが	Notongatsu must be behind
コンピューター不調の原因に違いない	the computer trouble
鍵付きパケットを捕獲	A locked packet is caught
開かない	It will not open
パスワードが必要？	A password, perhaps?
箱が積まれている	Boxes are stacked up
中にはハイパービルの過去の写真がいっぱい	Full of old photos of Hyperville
この異界には膨大で雑多な情報が	This otherworld holds vast,
そこかしこに存在している	jumbled information everywhere
パイアールの日記を発見	Pi-R's diary is found
姉、ルートの話	About his sister Root
パイアールの日記を読み進める	Reading on in Pi-R's diary
研究メモ	Research notes
今度はパスワードを入力、開いた	The password goes in; it opens
さて中身は……	Now, the contents...
パケットの中身は固定砲台の設計図	Inside: plans for a fixed gun
有効射程距離１５００キロの長距離砲	A gun with 1,500 km of range
これが完成したら人類は負ける	If it is finished, humanity loses
ルームガーダーが襲い掛かってきた	A Room Guarder attacks
しかし敵が次々に現れる	But more keep coming
一旦逃げる	They pull out for now
何か閃いたランス	Something comes to Rance
パイアールの工場へ急げ！	Hurry to Pi-R's factory!
今日も花の音がうるさい	The flowers are loud again today
その頃、Ｍランド　コンピュータールーム	Meanwhile, M-Land's computer room
ミラクルの助言によりコンピューター復活	Miracle's advice brings them back
工場に到着	They reach the factory
侵入する	In they go
行き止まり	Dead end
１階に戻る	Back to the first floor
肉塊の部屋に到着	They reach the room of flesh
